street_id,source,target,street_name,street_length,amenity,Average_POI_Distance,shop,restaurant,healthcare,clothes,school
665075493,540034614,471437674,Ayr Street,25.411,0.0,25.411,0.0,0.0,0.0,0.0,0.0
665075494,540034614,25773765,Ayr Street,13.219,0.0,13.219,0.0,0.0,0.0,0.0,0.0
24041551,25773766,540034406,Ayr Street,5.553,0.0,5.553,0.0,0.0,0.0,0.0,0.0
24041551,540034406,1775771742,Ayr Street,21.101,0.0,21.101,0.0,0.0,0.0,0.0,0.0
24041551,25773767,260728401,Ayr Street,30.092,0.0,30.092,0.0,0.0,0.0,0.0,0.0
24041551,260728401,6062707409,Ayr Street,63.859,0.0,63.859,0.0,0.0,0.0,0.0,0.0
24041551,6062707402,25773767,Ayr Street,77.457,0.0,77.457,0.0,0.0,0.0,0.0,0.0
612731477,25773768,25773770,Shore Road,52.669,0.0,52.669,0.0,0.0,0.0,0.0,0.0
612731471,5799506228,25773768,Shore Road,51.862,0.0,51.862,0.0,0.0,0.0,0.0,0.0
665075488,5799506228,6225112566,Shore Road,14.171,0.0,14.171,0.0,0.0,0.0,0.0,0.0
7633230,25773770,3127025500,Seaview Road,8.15,0.0,8.15,0.0,0.0,0.0,0.0,0.0
612731477,25773770,3127025502,Shore Road,34.734,1.0,22.1142842383678,1.0,0.0,0.0,0.0,0.0
665075491,25773769,9443545775,Bassett Road,11.226,0.0,11.226,0.0,0.0,0.0,0.0,0.0
50880395,5682938842,25773769,Bassett Road,97.801,0.0,97.801,0.0,0.0,0.0,0.0,0.0
665075489,9443545772,25773769,Bassett Road,12.97,0.0,12.97,0.0,0.0,0.0,0.0,0.0
665075491,9443545775,471437658,Bassett Road,12.273,0.0,12.273,0.0,0.0,0.0,0.0,0.0
7633230,3127025500,3127025501,Seaview Road,15.183,0.0,15.183,0.0,0.0,0.0,0.0,0.0
612731477,3127025502,25773787,Shore Road,39.224,0.0,39.224,0.0,0.0,0.0,0.0,0.0
7633155,25773787,3127025505,Hapua Street,7.63,0.0,7.63,0.0,0.0,0.0,0.0,0.0
612731477,25773787,5799506229,Shore Road,8.747,0.0,8.747,0.0,0.0,0.0,0.0,0.0
7633155,3127025505,3127025508,Hapua Street,8.661,0.0,8.661,0.0,0.0,0.0,0.0,0.0
612731475,5799506229,567796853,Shore Road,9.58,0.0,9.58,0.0,0.0,0.0,0.0,0.0
25340021,25773789,2960599865,Shore Road,12.811,0.0,12.811,0.0,0.0,0.0,0.0,0.0
25340021,2960599865,2960599863,Shore Road,15.353,0.0,15.353,0.0,0.0,0.0,0.0,0.0
190858815,3127025510,25773789,Arney Road,9.194,0.0,9.194,0.0,0.0,0.0,0.0,0.0
612731475,567796853,25773789,Shore Road,5.821,0.0,5.821,0.0,0.0,0.0,0.0,0.0
4282829,9443572723,9443572725,Sarawia Street,3.477,0.0,3.477,0.0,0.0,0.0,0.0,0.0
607833441,3395089216,3395089233,Parnell Road,42.162,1.0,23.771610646747718,1.0,0.0,0.0,0.0,0.0
4282829,25773964,4067973277,Sarawia Street,2.532,0.0,2.532,0.0,0.0,0.0,0.0,0.0
4282829,4067973277,3182512539,Sarawia Street,5.73,0.0,5.73,0.0,0.0,0.0,0.0,0.0
4282829,2705036320,25773964,Sarawia Street,7.704,0.0,7.704,0.0,0.0,0.0,0.0,0.0
616787804,25773967,6225112568,Parnell Road,6.216,0.0,6.216,0.0,0.0,0.0,0.0,0.0
682352837,25773967,9417099784,Railway Street,8.94,0.0,8.94,0.0,0.0,0.0,0.0,0.0
1020997090,6225112568,638214515,Parnell Road,10.768,0.0,10.768,0.0,0.0,0.0,0.0,0.0
665075499,6225112573,25773967,Parnell Road,10.393,0.0,10.393,0.0,0.0,0.0,0.0,0.0
665075497,6225112572,6225112571,Parnell Road,10.203,0.0,10.203,0.0,0.0,0.0,0.0,0.0
677065133,6225112572,25773967,Railway Street,7.696,0.0,7.696,0.0,0.0,0.0,0.0,0.0
682352837,9417099784,6225112570,Railway Street,3.168,0.0,3.168,0.0,0.0,0.0,0.0,0.0
4309697,25773968,5688843196,Railway Street,7.788,0.0,7.788,0.0,0.0,0.0,0.0,0.0
4309700,25773968,9416839876,Leek Street,6.46,0.0,6.46,0.0,0.0,0.0,0.0,0.0
4309697,5688843196,5688843191,Railway Street,11.964,0.0,11.964,0.0,0.0,0.0,0.0,0.0
4309697,2705036319,25773968,Railway Street,33.319,0.0,33.319,0.0,0.0,0.0,0.0,0.0
4309700,9416839876,2870452265,Leek Street,59.118,1.0,33.487325070476764,0.0,0.0,0.0,0.0,0.0
4309697,9417099794,25773970,Railway Street,12.485,0.0,12.485,0.0,0.0,0.0,0.0,0.0
50330908,25774027,1740882661,Hopetoun Street,24.681,0.0,24.681,0.0,0.0,0.0,0.0,0.0
50330908,1740882661,1740882655,Hopetoun Street,13.893,0.0,13.893,0.0,0.0,0.0,0.0,0.0
50330908,262805048,25774027,Hopetoun Street,21.721,0.0,21.721,0.0,0.0,0.0,0.0,0.0
627904353,25774033,431384099,Hopetoun Street,10.707,0.0,10.707,0.0,0.0,0.0,0.0,0.0
4290909,25775687,25774033,Hopetoun Street,32.416,0.0,32.416,0.0,0.0,0.0,0.0,0.0
7636449,1924675415,25774033,Hopetoun Street,15.11,0.0,15.11,0.0,0.0,0.0,0.0,0.0
37094419,431384099,4961456683,Hopetoun Street,64.814,0.0,64.814,0.0,0.0,0.0,0.0,0.0
620912277,4451094759,6773544390,Howe Street,2.616,0.0,2.616,0.0,0.0,0.0,0.0,0.0
620918973,6780110005,8423782043,Karangahape Road,3.215,0.0,3.215,0.0,0.0,0.0,0.0,0.0
620912263,25774221,1093192948,Union Street,11.23,0.0,11.23,0.0,0.0,0.0,0.0,0.0
620912263,1093192948,8140559859,Union Street,24.471,0.0,24.471,0.0,0.0,0.0,0.0,0.0
977784936,579478494,25774221,Union Street,14.71,0.0,14.71,0.0,0.0,0.0,0.0,0.0
4279733,25774225,7340083700,Nelson Street,9.635,0.0,9.635,0.0,0.0,0.0,0.0,0.0
671972474,25774225,6235448999,Union Street,7.126,0.0,7.126,0.0,0.0,0.0,0.0,0.0
4279733,7340083700,4249071825,Nelson Street,1.721,0.0,1.721,0.0,0.0,0.0,0.0,0.0
620912263,4249071829,25774225,Union Street,14.76,0.0,14.76,0.0,0.0,0.0,0.0,0.0
128366315,1418829050,7340083707,Union Street,14.711,0.0,14.711,0.0,0.0,0.0,0.0,0.0
627890712,1418829050,25774225,Nelson Street,12.123,0.0,12.123,0.0,0.0,0.0,0.0,0.0
671972473,6235448999,26453199,Union Street,43.914,0.0,43.914,0.0,0.0,0.0,0.0,0.0
132577902,25775602,2987023160,Crummer Road,11.002,0.0,11.002,0.0,0.0,0.0,0.0,0.0
612714695,25775602,8165998890,Hopetoun Street,15.791,0.0,15.791,0.0,0.0,0.0,0.0,0.0
883951049,25775602,8165998898,Ponsonby Road,12.661,0.0,12.661,0.0,0.0,0.0,0.0,0.0
132577902,2987023160,8165998895,Crummer Road,1.431,0.0,1.431,0.0,0.0,0.0,0.0,0.0
132577903,8165998892,25775602,Ponsonby Road,6.626,0.0,6.626,0.0,0.0,0.0,0.0,0.0
612714695,8165998890,1273805668,Hopetoun Street,20.014,0.0,20.014,0.0,0.0,0.0,0.0,0.0
612703662,8165998898,3346913393,Ponsonby Road,35.521,0.0,26.471049867681124,0.0,1.0,0.0,0.0,0.0
612703670,25775603,5799226961,Ponsonby Road,47.607,0.0,30.50604323374547,3.0,0.0,0.0,0.0,0.0
612714704,25775603,2987023169,Williamson Avenue,10.748,0.0,10.748,0.0,0.0,0.0,0.0,0.0
114501771,259361310,25775603,Hepburn Street,43.452,0.0,43.452,0.0,0.0,0.0,0.0,0.0
612703666,5799226961,443248046,Ponsonby Road,40.702,0.0,27.509144161913053,2.0,1.0,0.0,0.0,0.0
612703675,6996267989,25775603,Ponsonby Road,17.963,0.0,17.963,0.0,0.0,0.0,0.0,0.0
612714704,2987023169,9955671267,Williamson Avenue,12.251,0.0,12.251,0.0,0.0,0.0,0.0,0.0
626273254,25775605,5799321934,Williamson Avenue,16.126,1.0,13.14126592338657,0.0,0.0,0.0,0.0,0.0
612714704,9955671267,25775605,Williamson Avenue,34.196,1.0,26.167212182778528,1.0,1.0,0.0,0.0,0.0
626273252,6768423567,25775605,Rose Road,6.751,0.0,6.751,0.0,0.0,0.0,0.0,0.0
132909864,25775613,6235513630,Crummer Road,3.446,0.0,3.446,0.0,0.0,0.0,0.0,0.0
132577904,6235513629,25775613,Crummer Road,4.377,0.0,4.377,0.0,0.0,0.0,0.0,0.0
666031773,6235513629,6235513628,Pollen Street,15.356,0.0,15.356,0.0,0.0,0.0,0.0,0.0
666031772,6235513630,6235513627,Pollen Street,16.441,1.0,106.09741821814623,0.0,1.0,0.0,0.0,0.0
163683398,25775614,5902127905,Great North Road,19.681,0.0,19.681,0.0,0.0,0.0,0.0,0.0
625098599,5902127905,25842242,Great North Road,39.689,0.0,32.717669563906156,0.0,1.0,0.0,0.0,0.0
625098600,5712321651,25775614,Great North Road,3.921,0.0,3.921,0.0,0.0,0.0,0.0,0.0
667088197,6246048876,25775614,Pollen Street,8.576,0.0,8.576,0.0,0.0,0.0,0.0,0.0
4290909,3240501557,25775687,Hopetoun Street,11.843,0.0,11.843,0.0,0.0,0.0,0.0,0.0
163683394,25775722,3346684402,Great North Road,95.417,0.0,52.83619349510823,2.0,0.0,0.0,0.0,0.0
163683394,3346684402,25775723,Great North Road,5.316,0.0,5.316,0.0,0.0,0.0,0.0,0.0
163683394,265707434,25775722,Great North Road,11.148,0.0,11.148,0.0,0.0,0.0,0.0,0.0
317748005,265707434,5078186004,Waima Street,9.585,0.0,9.585,0.0,0.0,0.0,0.0,0.0
217106579,5072812297,25775722,Scanlan Street,6.805,0.0,6.805,0.0,0.0,0.0,0.0,0.0
132909865,25775723,5072812296,MacKelvie Street,7.879,0.0,7.879,0.0,0.0,0.0,0.0,0.0
163683394,25775723,25842239,Great North Road,36.719,0.0,36.719,0.0,0.0,0.0,0.0,0.0
132909865,5072812296,3240487639,MacKelvie Street,1.944,0.0,1.944,0.0,0.0,0.0,0.0,0.0
625098600,25842239,5712321651,Great North Road,57.935,0.0,57.935,0.0,0.0,0.0,0.0,0.0
4308413,25775729,8802769125,Mount Eden Road,10.24,0.0,10.24,0.0,0.0,0.0,0.0,0.0
